Title,Format,product_id,ISSN print,ISSN electronic,Imprint,Primary Language,Vols Qty,Scheduled Vol Nos,Single Issues per volume,Open Access,Comment
Journal of Porous Materials,PE OF,10934,1380-2224,1573-4854,Springer,English,1,26,6,Hybrid (Open Choice),
The Journal of Prevention of Alzheimer's Disease,E OF,42414,,2426-0266,Serdi-Editions,English,1,6,4,Hybrid (Open Choice),Take-over sales co-operation in 2018. Available in electronic format only. 
The Journal of Primary Prevention,PE OF,10935,0278-095X,1573-6547,Springer,English,1,40,6,Hybrid (Open Choice),
Journal of Productivity Analysis,PE OF,11123,0895-562X,1573-0441,Springer,English,2,51-52,3,Hybrid (Open Choice),
Journal of Proteins and Proteomics,PE OF S,42485,0975-8151,2524-4663,Springer,English,1,10,4,Hybrid (Open Choice),Addendum Journals List: Take-over in 2019. Former publisher: International Science Press. 
Journal of Pseudo-Differential Operators and Applications,PE OF,11868,1662-9981,1662-999X,Birkhäuser,English,1,10,4,Hybrid (Open Choice),
Journal of Psycholinguistic Research,PE OF,10936,0090-6905,1573-6555,Springer,English,1,48,6,Hybrid (Open Choice),
Journal of Psychopathology and Behavioral Assessment,PE OF,10862,0882-2689,1573-3505,Springer,English,1,41,4,Hybrid (Open Choice),
Journal of Psychosocial Rehabilitation and Mental Health,E OF,40737,,2198-963X,Springer,English,1,6,2,Hybrid (Open Choice),Available in electronic format only. 
Journal of Public Health,PE OF S,10389,2198-1833,1613-2238,Springer,English,1,27,6,Hybrid (Open Choice),
Journal of Public Health Policy,PE OF,41271,0197-5897,1745-655X,Palgrave Macmillan,English,1,40,4,Hybrid (Open Choice),Online version only available through an institutional license. 
Journal of Quantitative Criminology,PE OF S,10940,0748-4518,1573-7799,Springer,English,1,35,4,Hybrid (Open Choice),
Journal of Quantitative Economics,PE OF,40953,0971-1554,2364-1045,Springer,English,1,17,4,Hybrid (Open Choice),
Journal of Racial and Ethnic Health Disparities,E,40615,,2196-8837,Springer,English,1,6,6,Hybrid (Open Choice),Available in electronic format only. 
Journal of Radiation Oncology,PE OF S,13566,1948-7894,1948-7908,Springer,English,1,8,4,Hybrid (Open Choice),
Journal of Radioanalytical and Nuclear Chemistry,PE,10967,0236-5731,1588-2780,"Akadémiai Kiadó, co-published with Springer",English,4,319-322,3,Hybrid (Open Choice),
Journal of Rational-Emotive & Cognitive-Behavior Therapy,PE OF,10942,0894-9085,1573-6563,Springer,English,1,37,4,Hybrid (Open Choice),
The Journal of Real Estate Finance and Economics,PE OF,11146,0895-5638,1573-045X,Springer,English,2,58-59,4,Hybrid (Open Choice),
Journal of Real-Time Image Processing,PE OF,11554,1861-8200,1861-8219,Springer,English,1,16,6,Hybrid (Open Choice),
Journal of Regulatory Economics,PE OF,11149,0922-680X,1573-0468,Springer,English,2,55-56,3,Hybrid (Open Choice),
Journal of Reliable Intelligent Environments,PE OF,40860,2199-4668,2199-4676,Springer,English,1,5,4,Hybrid (Open Choice),
Journal of Religion and Health,PE OF,10943,0022-4197,1573-6571,Springer,English,1,58,6,Hybrid (Open Choice),
Journal of Religious Education,PE,40839,1442-018X,2199-4625,Springer,English,1,67,3,Hybrid (Open Choice),
Journal of Remanufacturing,PE,13243,2210-464X,2210-4690,Springer,English,1,9,3,Hybrid (Open Choice),
Journal of Revenue and Pricing Management,PE OF,41272,1476-6930,1477-657X,Palgrave Macmillan,English,1,18,6,Hybrid (Open Choice),Online version only available through an institutional license. 
Journal of Risk and Uncertainty,PE OF,11166,0895-5646,1573-0476,Springer,English,2,58-59,3,Hybrid (Open Choice),
Journal of Robotic Surgery,E OF S,11701,,1863-2491,Springer,English,1,13,6,Hybrid (Open Choice),
Journal of Rubber Research,PE OF S,42464,1511-1768,2524-3993,Springer,English,1,22,4,Hybrid (Open Choice),Addendum Journals List: Take-over in 2019. Former publisher: Malaysian Rubber Board. 
Journal of Scheduling,PE OF,10951,1094-6136,1099-1425,Springer,English,1,22,6,Hybrid (Open Choice),
Journal of Science Education and Technology,PE OF,10956,1059-0145,1573-1839,Springer,English,1,28,6,Hybrid (Open Choice),
Journal of Scientific Computing,PE OF,10915,0885-7474,1573-7691,Springer,English,4,78-81,3,Hybrid (Open Choice),
Journal of Seismology,PE,10950,1383-4649,1573-157X,Springer,English,1,23,6,Hybrid (Open Choice),
Journal of Shanghai Jiaotong University (Science),PE OF,12204,1007-1172,1995-8188,"Shanghai Jiaotong University Press, co-published with Springer",English,1,24,6,Hybrid (Open Choice),Chinese Library of Science. 
Journal of Signal Processing Systems,PE OF,11265,1939-8018,1939-8115,Springer,English,1,91,12,Hybrid (Open Choice),
Journal of Social and Economic Development,PE OF,40847,0972-5792,2199-6873,Springer,English,1,21,2,Hybrid (Open Choice),
Journal of Soil Science and Plant Nutrition,PE,42729,0718-9508,0718-9516,Springer,English,1,19,4,Hybrid (Open Choice),Addendum Journals List: Take-over in 2019. Former publisher: Temuco : Sociedad Chilena de la Ciencia del Suelo. 
Journal of Soils and Sediments,PE OF,11368,1439-0108,1614-7480,Springer,English,1,19,12,Hybrid (Open Choice),
Journal of Sol-Gel Science and Technology,PE OF,10971,0928-0707,1573-4846,Springer,English,4,89-92,3,Hybrid (Open Choice),
Journal of Solid State Electrochemistry,PE OF S,10008,1432-8488,1433-0768,Springer,English,1,23,12,Hybrid (Open Choice),
Journal of Solution Chemistry,PE OF,10953,0095-9782,1572-8927,Springer,English,1,48,12,Hybrid (Open Choice),
Journal of Statistical Physics,PE OF S,10955,0022-4715,1572-9613,Springer,English,4,174-177,6,Hybrid (Open Choice),
Journal of Statistical Theory and Practice,PE C,42519,1559-8608,1559-8616,Springer,English,1,13,4,Hybrid (Open Choice),Take-over in 2019. Former publisher: Taylor and Francis. 
Journal for STEM Education Research,PE OF,41979,2520-8705,2520-8713,Springer,English,1,2,2,Hybrid (Open Choice),New Start in 2018. 
The Journal of Supercomputing,PE OF,11227,0920-8542,1573-0484,Springer,English,1,75,12,Hybrid (Open Choice),
Journal of Superconductivity and Novel Magnetism,PE OF,10948,1557-1939,1557-1947,Springer,English,1,32,12,Hybrid (Open Choice),
Journal of Sustainable Metallurgy,PE OF,40831,2199-3823,2199-3831,Springer,English,1,5,4,Hybrid (Open Choice),
Journal of Technology in Behavioral Science,E OF S,41347,,2366-5963,Springer,English,1,4,4,Hybrid (Open Choice),Available in electronic format only. 
The Journal of Technology Transfer,PE OF,10961,0892-9912,1573-7047,Springer,English,1,44,6,Hybrid (Open Choice),
Journal of Theoretical Probability,PE OF,10959,0894-9840,1572-9230,Springer,English,1,32,4,Hybrid (Open Choice),
Journal of Thermal Analysis and Calorimetry,PE OF,10973,1388-6150,1588-2926,"Akadémiai Kiadó, co-published with Springer",English,4,135-138,6,Hybrid (Open Choice),
Journal of Thermal Science,PE OF,11630,1003-2169,1993-033X,"Science Press, co-published with Springer",English,1,28,6,Hybrid (Open Choice),Chinese Library of Science. 
Journal of Thermal Spray Technology,PE OF,11666,1059-9630,1544-1016,Springer,English,1,28,8,Hybrid (Open Choice),
Journal of Thrombosis and Thrombolysis,PE OF S,11239,0929-5305,1573-742X,Springer,English,2,47-48,4,Hybrid (Open Choice),
Journal of Transatlantic Studies,PE,42738,1479-4012,1754-1018,Palgrave Macmillan,English,1,17,4,Hybrid (Open Choice),Addendum Journals List: Take-over in 2019. Online version only available through an institutional license. Former publisher: Taylor & Francis. 
Journal of Transportation Security,E OF,12198,,1938-775X,Springer,English,1,12,4,Hybrid (Open Choice),
Journal of Ultrasound,E OF S,40477,,1876-7931,Springer,English,1,22,4,Hybrid (Open Choice),
Journal of Urban Health,PE OF,11524,1099-3460,1468-2869,Springer,English,1,96,6,Hybrid (Open Choice),
Journal für Urologie und Urogynäkologie/Österreich,PE OF,41972,1023-6090,1680-9424,SpringerMedizin,German,1,26,4,Hybrid (Open Choice),
Journal für Urologie und Urogynäkologie/Schweiz,PE OF,41973,1607-8071,2520-8403,SpringerMedizin,German,1,21,4,Hybrid (Open Choice),
The Journal of Value Inquiry,PE OF,10790,0022-5363,1573-0492,Springer,English,1,53,4,Hybrid (Open Choice),
Journal on Vehicle Routing Algorithms,PE,41604,2367-3591,2367-3605,Springer,English,1,2,4,Hybrid (Open Choice),New Start in 2018. 
Journal of Vibration Engineering & Technologies,PE,42417,2523-3920,2523-3939,Springer,English,1,7,6,Hybrid (Open Choice),"Addendum Journals List: Take-over in 2018. Former publisher: The Vibration Institute of India and Krishtel eMaging Solutions Pvt. Ltd.. Exclusive distribution rights for print version outside India, for electronic version worldwide."
Journal of Visualization,PE OF,12650,1343-8875,1875-8975,Springer,English,1,22,6,Hybrid (Open Choice),
Journal of Well-Being Assessment,PE OF,41543,2509-4629,2509-4637,Springer,English,1,3,3,Hybrid (Open Choice),
Journal of Wood Science,E OA,10086,,1611-4663,Springer,English,1,65,1,Hybrid (Open Choice),Open Access as of 2019. 
Journal of World Prehistory,PE OF S,10963,0892-7537,1573-7802,Springer,English,1,32,4,Hybrid (Open Choice),
Journal of Youth and Adolescence,PE OF,10964,0047-2891,1573-6601,Springer,English,1,48,12,Hybrid (Open Choice),
Jus Cogens,PE,42439,2524-3977,2524-3985,Springer,English,1,1,2,Hybrid (Open Choice),New Start in 2019. 
Der Kardiologe,PE OF S,12181,1864-9718,1864-9726,SpringerMedizin,German,1,13,6,Hybrid (Open Choice),
Kew Bulletin,PE C,12225,0075-5974,1874-933X,Springer,English,1,74,4,Hybrid (Open Choice),
KI - Künstliche Intelligenz,PE OF,13218,0933-1875,1610-1987,Springer,English,1,33,4,Hybrid (Open Choice),
KN - Journal of Cartography and Geographic Information,PE,42489,2524-4957,2524-4965,Springer,English,1,69,4,Hybrid (Open Choice),Erratum Journals List: E-only subscription not available. Take-over in 2019. Former publisher: Kirschbaum. 
"Knee Surgery, Sports Traumatology, Arthroscopy",PE OF S,167,0942-2056,1433-7347,Springer,English,1,27,12,Hybrid (Open Choice),
Knowledge and Information Systems,PE OF,10115,0219-1377,0219-3116,Springer,English,4,58-61,3,Hybrid (Open Choice),
Korea-Australia Rheology Journal,PE OF,13367,1226-119X,2093-7660,"Korean Society of Rheology, Australian Society of Rheology, co-published with Springer",English,1,31,4,Hybrid (Open Choice),
KZfSS Kölner Zeitschrift für Soziologie und Sozialpsychologie,PE OF,11577,0023-2653,1861-891X,Springer VS,German,1,71,4,Hybrid (Open Choice),
Laboratory Investigation,PE,41374,0023-6837,1530-0307,Springer Nature,English,1,99,12,Hybrid (Open Choice),Online version only available through an institutional license. 
Landscape and Ecological Engineering,PE OF S,11355,1860-1871,1860-188X,Springer,English,1,15,4,Hybrid (Open Choice),
Landscape Ecology,PE OF S,10980,0921-2973,1572-9761,Springer,English,1,34,12,Hybrid (Open Choice),
Landslides,PE OF,10346,1612-510X,1612-5118,Springer,English,1,16,12,Hybrid (Open Choice),
Langenbeck's Archives of Surgery,PE OF S,423,1435-2443,1435-2451,Springer,English,1,404,8,Hybrid (Open Choice),
Language Policy,PE OF,10993,1568-4555,1573-1863,Springer,English,1,18,4,Hybrid (Open Choice),
Language Resources and Evaluation,PE OF,10579,1574-020X,1574-0218,Springer,English,1,53,4,Hybrid (Open Choice),
Lasers in Dental Science,E OF S,41547,,2367-2587,Springer,English,1,3,4,Hybrid (Open Choice),Available in electronic format only. 
Lasers in Manufacturing and Materials Processing,PE,40516,2196-7229,2196-7237,Springer,English,1,6,4,Hybrid (Open Choice),
Lasers in Medical Science,PE OF S,10103,0268-8921,1435-604X,Springer,English,1,34,9,Hybrid (Open Choice),
Latino Studies,PE OF,41276,1476-3435,1476-3443,Palgrave Macmillan,English,1,17,4,Hybrid (Open Choice),Online version only available through an institutional license. 
Law and Critique,PE OF,10978,0957-8536,1572-8617,Springer,English,1,30,3,Hybrid (Open Choice),
Law and Philosophy,PE OF,10982,0167-5249,1573-0522,Springer,English,1,38,6,Hybrid (Open Choice),
Learning & Behavior,PE OF S,13420,1543-4494,1543-4508,Springer,English,1,47,4,Hybrid (Open Choice),
Learning Environments Research,PE OF,10984,1387-1579,1573-1855,Springer,English,1,22,3,Hybrid (Open Choice),
L'Endocrinologo,PE OF S,40619,1590-170X,1720-8351,Springer,Italian,1,20,6,Hybrid (Open Choice),
Letters in Mathematical Physics,PE OF S,11005,0377-9017,1573-0530,Springer,English,1,109,12,Hybrid (Open Choice),
Letters in Spatial and Resource Sciences,E OF,12076,,1864-404X,Springer,English,1,12,3,Hybrid (Open Choice),
Leukemia,PE,41375,0887-6924,1476-5551,Springer Nature,English,1,33,12,Hybrid (Open Choice),Subscription to Leukemia includes subscription to Leukemia Supplements. Electronic Version only available through an institutional license. 
Lexicography,PE,40607,2197-4292,2197-4306,Springer,English,1,6,2,Hybrid (Open Choice),
Life Cycle Reliability and Safety Engineering,PE,41872,2520-1352,2520-1360,Springer,English,1,8,4,Hybrid (Open Choice),
Lifetime Data Analysis,PE OF,10985,1380-7870,1572-9249,Springer,English,1,25,4,Hybrid (Open Choice),
Limnology,PE OF S,10201,1439-8621,1439-863X,Springer,English,1,20,3,Hybrid (Open Choice),
Linguistics and Philosophy,PE OF,10988,0165-0157,1573-0549,Springer,English,1,42,6,Hybrid (Open Choice),
List Forum für Wirtschafts- und Finanzpolitik,PE OF,41025,0937-0862,2364-3943,Springer Gabler,German,1,45,4,Hybrid (Open Choice),
Lithuanian Mathematical Journal,PE OF,10986,0363-1672,1573-8825,Springer,English,1,59,4,Hybrid (Open Choice),
Liverpool Law Review,PE OF,10991,0144-932X,1572-8625,Springer,English,1,40,3,Hybrid (Open Choice),
LO SCALPELLO-OTODI Educational,E OF S,11639,,1970-6812,Springer,Italian,1,33,3,Hybrid (Open Choice),
Logica Universalis,PE OF,11787,1661-8297,1661-8300,Birkhäuser,English,1,13,4,Hybrid (Open Choice),
Lung,E OF,408,,1432-1750,Springer,English,1,197,6,Hybrid (Open Choice),
Machine Learning,PE OF,10994,0885-6125,1573-0565,Springer,English,1,108,12,Hybrid (Open Choice),
Machine Translation,PE OF,10590,0922-6567,1573-0573,Springer,English,1,33,4,Hybrid (Open Choice),
Machine Vision and Applications,PE OF,138,0932-8092,1432-1769,Springer,English,1,30,8,Hybrid (Open Choice),
"Magnetic Resonance Materials in Physics, Biology and Medicine",E OF S,10334,,1352-8661,Springer,English,1,32,6,Hybrid (Open Choice),Erratum Journals List: Print subscription no longer available as of 2018. 
Mammal Research,PE OF S,13364,2199-2401,2199-241X,Springer,English,1,64,4,Hybrid (Open Choice),
Mammalian Genome,PE OF,335,0938-8990,1432-1777,Springer,English,1,30,12,Hybrid (Open Choice),
Management International Review,PE OF,11575,0938-8249,1861-8901,Springer,English,1,59,6,Hybrid (Open Choice),
Management Review Quarterly,PE OF,11301,2198-1620,2198-1639,Springer,English,1,69,4,Hybrid (Open Choice),
Manuelle Medizin,PE OF,337,0025-2514,1433-0466,SpringerMedizin,German,1,57,6,Hybrid (Open Choice),
manuscripta mathematica,PE OF S,229,0025-2611,1432-1785,Springer,English,3,158-160,4,Hybrid (Open Choice),
MAPAN,PE OF,12647,0970-3950,0974-9853,Springer,English,1,34,4,Hybrid (Open Choice),
Marine Biodiversity,PE OF S,12526,1867-1616,1867-1624,Springer,English,1,49,6,Hybrid (Open Choice),
Marine Biology,PE S C,227,0025-3162,1432-1793,Springer,English,1,166,12,Hybrid (Open Choice),
Marine Biotechnology,PE OF,10126,1436-2228,1436-2236,Springer,English,1,21,6,Hybrid (Open Choice),
Marine Geophysical Research,PE OF S,11001,0025-3235,1573-0581,Springer,English,1,40,4,Hybrid (Open Choice),
Marine Systems & Ocean Technology,PE OF,40868,1679-396X,2199-4749,Springer,English,1,14,4,Hybrid (Open Choice),
Maritime Economics & Logistics,PE OF,41278,1479-2931,1479-294X,Palgrave Macmillan,English,1,21,4,Hybrid (Open Choice),Online version only available through an institutional license. 
Maritime Studies,PE,40152,1872-7859,2212-9790,Springer,English,1,18,3,Hybrid (Open Choice),
Marketing Letters,PE OF,11002,0923-0645,1573-059X,Springer,English,1,30,4,Hybrid (Open Choice),
Materials Circular Economy,PE,42824,2524-8146,2524-8154,Springer,English,1,1,1,Hybrid (Open Choice),Addendum Journals List: New start in 2019. 
Materials and Structures,PE C,11527,1359-5997,1871-6873,Springer,English,1,52,6,Hybrid (Open Choice),
Maternal and Child Health Journal,PE OF,10995,1092-7875,1573-6628,Springer,English,1,23,12,Hybrid (Open Choice),
Mathematical Geosciences,PE OF,11004,1874-8961,1874-8953,Springer,English,1,51,8,Hybrid (Open Choice),
The Mathematical Intelligencer,PE OF,283,0343-6993,1866-7414,Springer,English,1,41,4,Hybrid (Open Choice),
Mathematical Methods of Operations Research,PE OF,186,1432-2994,1432-5217,Springer,English,2,89-90,3,Hybrid (Open Choice),
"Mathematical Physics, Analysis and Geometry",PE S C,11040,,1572-9656,Springer,English,1,22,4,Hybrid (Open Choice),Print subscription available as of 2019. 
Mathematical Programming,PE OF S,10107,0025-5610,1436-4646,Springer,English,6,173-178,2,Hybrid (Open Choice),Erratum Journals List: Amendment of Institutional Price e-only in JPY. 
Mathematical Programming Computation,PE OF S,12532,1867-2949,1867-2957,Springer,English,1,11,4,Hybrid (Open Choice),
Mathematics in Computer Science,PE OF,11786,1661-8270,1661-8289,Birkhäuser,English,1,13,4,Hybrid (Open Choice),
"Mathematics of Control, Signals, and Systems",PE OF C,498,0932-4194,1435-568X,Springer,English,1,31,4,Hybrid (Open Choice),
Mathematics Education Research Journal,PE OF,13394,1033-2170,2211-050X,Springer,English,1,31,4,Hybrid (Open Choice),
